0.0026	0.0012	1.98E-04	3.18E-04	2.19E-04	1.02E-04	3.39E-04	3.47E-05	2.25E-04	0.0012	6.10E-05	2.05E-04	7.30E-05	8.17E-05	3.99E-04	2.17E-04	3.53E-04	1.40E-04	7.68E-07	0	2.46E-04	6.22E-04	4.82E-04	2.36E-05	1.79E-04	0	0.0234	4.31E-04	0.0701	0.0546	3.90E-04	0.008	0.0149	1.17E-04	0.0039	0.0253	0.0016	0.0265	0.007	0.0196	9.72E-04	0	
0.0336	0.0754	0.0568	0.0796	0.1213	0.036	0.0342	0.0501	0.0809	0.0587	0.1639	0.0813	0.1018	0.0725	0.0499	0.0847	0.0385	0.0482	0.0343	0.0648	0.1023	0.0781	0.0825	0.0581	0.0923	0.0554	0.4365	7.97E-04	0.146	0.1752	0.0108	0.0188	0.0048	0.0622	0.0108	0.1233	0.0168	0.0727	0.0455	0.0374	0.0068	0.1745	
4.86E-06	9.62E-05	1.61E-04	1.51E-04	3.93E-04	1.72E-04	6.38E-05	1.88E-04	3.50E-05	8.65E-05	2.55E-05	6.23E-05	1.42E-04	2.81E-05	1.65E-04	8.47E-05	7.02E-05	1.19E-04	3.62E-05	3.43E-04	4.01E-05	5.29E-04	4.23E-05	5.55E-06	1.75E-04	9.95E-05	5.36E-04	2.88E-04	0.0117	0.003	4.79E-04	9.62E-04	5.67E-05	6.88E-04	3.40E-04	0.0036	5.33E-05	2.78E-04	8.21E-04	0.0019	7.26E-05	0.0015	
0.0014	6.55E-04	0.0012	0.0013	0.002	4.31E-04	5.90E-04	7.53E-04	3.60E-04	6.05E-04	1.55E-04	5.98E-04	9.23E-04	2.27E-04	4.50E-04	5.43E-04	5.30E-04	6.08E-04	3.62E-04	0.0014	1.63E-04	0.0025	2.42E-04	1.61E-04	0.0014	8.62E-04	0.0186	1.46E-04	0.5269	0.005	7.89E-04	0.0155	7.47E-04	0.0162	4.72E-04	0.036	0.0022	0.0077	0.0221	0.01	0.0016	0.1601	
0.0504	0.0278	0.0183	0.0249	0.0723	0.0664	0.1607	0.2357	0.0584	0.1063	0.1197	0.0282	0.0294	0.0145	0.1958	0.1736	0.0689	0.0837	0.2184	0.1573	0.0183	0.0283	0.0159	0.1142	0.0541	0.0307	0.2909	9.06E-04	0.5277	0.0884	0.0223	0.0114	0.0014	0.0139	0.0014	0.0376	0.0102	0.0135	0.0224	0.2144	0.0022	0.0425	
0.0035	0.0042	0.0016	0.0052	0.008	0.0036	0.0029	0.004	0.0024	0.0029	0.001	0.0023	0.0025	0.0011	0.0039	0.004	0.0041	0.0036	0.0016	0.0095	0.0051	0.0102	8.25E-04	3.91E-04	0.0048	0.0052	0.0256	5.49E-05	0.1602	0.1037	0.0092	0.0143	0.004	0.1061	0.0082	0.0836	0.0024	0.0855	0.0431	0.0134	0.0086	0.1225	
0.0066	0.0118	0.0013	0.0031	0.0195	0.0071	0.0301	0.0034	0.0102	0.0282	0.0095	0.0088	0.0152	0.0083	0.0099	0.0094	0.0111	0.0099	0.0012	6.35E-04	0.0019	0.4252	0.0241	0.0042	0.0372	0.0026	0.1402	1.26E-04	0.1335	0.2683	0.0043	1.97E-04	0.0013	0.0349	0.0147	0.0038	7.13E-06	0.0815	0.1254	2.99E-04	0.0379	1.47E-04	
0	0.002	0.0015	0.0024	4.43E-05	0.001	0.0018	0.0086	0.0031	0.0126	5.59E-04	6.86E-04	0.0037	5.87E-05	9.26E-04	0.001	2.28E-04	1.10E-04	0.0014	0.0106	0.0016	0.0037	1.24E-04	0.0011	3.42E-04	8.86E-06	0.02	2.07E-04	0.446	0.1905	0.0094	0.0051	0	0.0043	0	0.0164	0.007	0.0086	0.0088	0.006	0.0016	0.0224	
9.72E-06	0.0016	1.00E-04	0.0027	0.0061	0.016	0.0043	0.0018	4.00E-04	5.61E-04	8.63E-04	0.0019	0.002	3.45E-04	0.0027	0.0043	0.0032	0.0022	0.0049	0	8.85E-04	0.0037	2.45E-04	1.97E-04	0.0092	0.0017	0.0154	1.89E-04	0.0916	0.2464	0.0037	0.0124	4.15E-04	0.0932	4.25E-04	0.0105	0.0061	0.0081	0.0132	3.35E-04	0.0022	0.0014	
4.06E-04	1.45E-05	1.34E-04	5.00E-06	0	2.56E-04	4.95E-04	0	1.38E-05	0	0	3.27E-04	1.51E-04	5.77E-05	6.28E-04	0.0031	0.0051	4.76E-04	9.21E-04	0	0	0.0025	1.10E-04	0	0	0.0022	0.0043	5.25E-07	0.0067	0	0	4.69E-04	0	1.85E-06	0	0	0	0	0	0	0	0	
9.05E-04	2.81E-04	0.0021	1.65E-04	1.73E-04	6.93E-04	0.0023	0.0019	5.03E-05	4.62E-04	5.03E-05	6.26E-04	2.28E-04	4.41E-04	0.0025	0.0072	2.74E-04	5.32E-04	0.0014	0.0343	0	0.0037	4.08E-04	0.0022	3.46E-04	0.0047	0.0217	6.29E-07	0	0.0036	1.62E-05	0	0	4.31E-05	0	0	0	0	0	0	0	0	
0.0011	7.55E-04	3.66E-05	5.41E-05	1.87E-04	1.44E-04	5.17E-04	3.19E-05	1.34E-04	1.25E-04	1.37E-04	3.01E-04	1.76E-04	1.62E-04	3.47E-04	3.32E-04	1.32E-04	1.19E-04	2.83E-05	0	0	0	7.11E-04	2.69E-06	0.0065	1.99E-05	0.0019	0	0.0017	6.99E-04	2.28E-04	6.40E-04	0	0.0012	1.38E-04	3.41E-04	0	0	0.0047	0	0	0	
0.0013	0.0171	0.0114	0.0044	0.0071	0.0015	8.05E-04	5.90E-04	2.55E-04	0.0036	9.54E-04	0.0051	0.0091	0.003	0.0069	0.0158	0.004	4.88E-04	1.58E-04	4.90E-04	1.13E-04	0.0424	0.0074	4.27E-04	0.0094	0.0023	0.027	2.16E-05	0.075	0.3013	0.0125	0.0038	4.78E-05	0.0145	4.56E-04	0.0378	0.0134	0.011	0.0072	0.0145	0.0047	0.0496	
0.0037	9.33E-04	1.96E-05	5.58E-04	1.74E-04	1.94E-04	2.49E-04	0.0017	0.0021	4.47E-04	0.0013	5.84E-04	3.34E-04	1.40E-04	1.42E-04	7.54E-04	8.21E-04	4.07E-04	9.10E-05	0.0019	1.24E-04	6.72E-04	8.44E-04	4.96E-05	0.0013	0	0.0054	4.88E-05	0.0195	0.0095	5.53E-05	0.0037	2.64E-04	0.0015	5.51E-04	0.0196	0.0015	0.0068	0.0102	0.0082	0.0012	0.0467	
0.0044	0.0368	4.90E-06	0.0064	0.0085	0.0064	0.007	0.0082	0.0101	0.003	0.0027	0.0043	0.0032	0.0012	0.0036	0.0073	0.002	0.0025	3.38E-05	0	0	0.0034	0.0046	1.85E-05	3.35E-06	0	0	0	0	6.64E-04	0	1.86E-04	0	3.76E-06	0	0.0289	0.0049	0.0017	0.0074	0.0067	6.14E-05	0	
0	5.19E-04	4.00E-04	0.0013	0.0026	2.69E-04	3.70E-04	8.62E-04	2.54E-04	7.56E-04	1.94E-04	3.54E-04	5.63E-04	1.83E-04	7.21E-04	5.60E-04	7.85E-04	8.08E-04	2.65E-04	0.0026	9.49E-04	0.0033	1.73E-04	1.16E-04	0.0017	0.0018	0.004	8.13E-05	0.0251	0.0326	0.0019	0.0025	8.08E-04	0.0178	4.32E-04	0.0161	2.29E-04	0.0246	0.01	0.0027	0.0021	0.0157	
2.11E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.12E-05	1.57E-06	0	0	0	7.09E-05	0	0.0017	1.38E-04	0	0	0	0.0039	0	1.44E-04	0	
